       1       1      60   3.788
       2       1     336   6.108
       3       1     432   6.283
       4       1     516   6.373
       5       1     624   6.459
       6       1     708   6.572
       7       1     708   6.691
       8       1    1152   6.941
       9       1     276   5.912
      10       1     372   6.115
      11       1     456   6.218
      12       1     564   6.666
      13       1     648    6.44
      14       1     792   6.572
      15       1    1092   6.854
      16       1      96   3.824
      17       1     180   4.416
      18       1     288   4.827
      19       1     372   5.214
      20       1     516   5.608
      21       1     816   6.172
      22       1      84   3.306
      23       1     192   4.307
      24       1     276    4.78
      25       1     420   5.263
      26       1     720   6.045
      27       1     108   3.721
      28       1     192   4.473
      29       1     336   5.126
      30       1     636   5.999
      31       1      84   3.823
      32       1     228   4.792
      33       1     528   5.873
      34       1     144   4.071
      35       1     444   5.829
       1       0      36   3.788
       2       0     189   6.108
       3       0     216   6.283
       4       0     240   6.373
       5       0     279   6.459
       6       0     369   6.572
       7       0     489   6.691
       8       0     597   6.941
       9       0     153   5.912
      10       0     180   6.115
      11       0     204   6.218
      12       0     243   6.666
      13       0     333    6.44
      14       0     453   6.572
      15       0     561   6.854
      16       0      27   3.824
      17       0      51   4.416
      18       0      90   4.827
      19       0     180   5.214
      20       0     300   5.608
      21       0     408   6.172
      22       0      24   3.306
      23       0      63   4.307
      24       0     153    4.78
      25       0     273   5.263
      26       0     381   6.045
      27       0      39   3.721
      28       0     129   4.473
      29       0     249   5.126
      30       0     357   5.999
      31       0      90   3.823
      32       0     210   4.792
      33       0     318   5.873
      34       0     120   4.071
      35       0     228   5.829
